program_id,source_title,url
SCE_DR_OVERVIEW_2025,SCE – What is Demand Response (Business),https://www.sce.com/business/save-costs-energy/savings-strategies/what-is-demand-response
SCE_DR_ELRP_2025,SCE – ELRP site,https://elrp.sce.com/
SCE_DR_ELRP_2025,SCE – ELRP Help Center,https://www.sce.com/customer-service-center/help-center/rebate-savings/business-savings/emergency-load-reduction-program
SCE_DR_CBP_E_2025,SCE – Capacity Bidding Program Elect (Aggregators),https://www.sce.com/business/save-costs-energy/savings-strategies-for-businesses/what-is-demand-response/capacity-bidding-program-elect-aggregators
SCE_DR_AUTODR_EXPRESS_2025,SCE – Auto‑DR Express Control Incentives,https://www.sce.com/business/save-costs-energy/savings-strategies-for-businesses/what-is-demand-response/automated-demand-response/auto-dr-express-control-incentives
SCE_DR_AUTODR_CUSTOM_2025,SCE – Auto‑DR Customized Control Incentives,https://www.sce.com/business/save-costs-energy/savings-strategies-for-businesses/what-is-demand-response/automated-demand-response/auto-dr-with-customized-control-incentives
SCE_DR_APP_2025,SCE – DR Mobile App for Business,https://www.sce.com/business/save-costs-energy/savings-strategies-for-businesses/what-is-demand-response/demand-response-mobile-app
SCE_DR_OVERVIEW_2025,"SCE – DR Programs Fact Sheet (PDF, 2025)",https://www.sce.com/sites/default/files/custom-files/PDF_Files/DR_Programs_Fact_Sheet_0425_WCAG.pdf
