zip,owner_utility,cca,notes,source
90032,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90032,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90033,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90033,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90034,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90034,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90034,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90035,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90035,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90036,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90036,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90036,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90037,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90037,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90038,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90038,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90038,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90039,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90039,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90040,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90040,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90041,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90041,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90042,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90042,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90043,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90043,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90043,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90044,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90044,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90044,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90045,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90045,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90045,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90046,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
