zip,owner_utility,cca,notes,source
92586,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92586,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92587,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92587,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92589,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92590,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92590,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92591,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92591,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92592,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92592,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92593,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92593,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92595,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92595,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92596,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92596,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92599,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92599,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92602,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92602,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92603,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92603,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92604,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92604,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92605,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92605,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92606,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92606,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92607,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92607,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92610,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92610,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92612,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92612,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92614,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92614,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92615,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92615,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92616,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92616,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92617,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92617,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92618,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92618,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92619,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92619,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92620,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92620,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92621,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92623,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92623,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92624,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92625,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92625,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92626,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92626,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92627,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92627,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92628,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92628,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92629,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92630,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92630,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92637,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92637,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92642,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92644,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92646,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92646,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92647,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92647,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92648,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92648,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92649,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92649,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92650,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92651,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92651,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92652,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92652,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92653,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92653,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92654,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92654,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92655,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92655,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92656,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92656,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92657,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92657,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92658,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92658,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92659,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92660,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92660,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92661,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92661,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92662,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92662,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92663,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92663,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92668,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92672,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92672,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92673,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92674,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92675,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92675,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92676,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92676,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92677,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92677,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92678,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92678,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92679,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92679,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92683,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92683,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92684,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92684,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92686,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92688,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92688,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92690,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92690,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92691,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92691,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92692,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92692,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92693,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92694,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92697,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92697,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92698,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92701,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92701,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92702,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92702,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92703,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92703,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92704,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92704,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92705,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92705,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92706,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92706,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92707,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92707,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92708,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92708,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92709,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92709,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92710,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92711,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92711,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92713,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92715,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92717,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92720,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92728,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92728,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92780,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92780,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92781,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92781,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92782,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92782,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92799,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92799,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92801,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92801,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92802,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92802,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92803,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92804,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92804,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92805,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92805,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92806,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92806,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92807,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92807,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92808,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92808,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92809,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92821,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92821,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92822,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92822,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92823,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92823,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92831,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92831,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92832,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92832,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92833,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92833,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92834,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92834,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92835,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92835,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92836,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92836,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92837,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92837,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92840,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92840,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92841,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92841,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92842,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92842,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92843,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92843,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92844,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92844,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92845,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92845,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92856,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92856,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92857,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92857,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92859,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92860,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92860,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92861,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92861,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92862,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92862,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92863,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92863,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92864,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92865,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92865,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92866,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92866,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92867,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92867,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92868,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92868,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92869,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92869,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92870,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92870,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92871,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92871,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92877,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92877,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92878,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92878,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92879,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92879,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92880,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92880,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92881,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92881,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92882,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92882,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92883,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92883,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92885,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92885,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92886,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92886,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92887,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
92887,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
92899,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93001,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93001,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93002,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93002,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93003,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93003,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93004,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93004,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93005,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93009,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93009,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93010,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93010,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93011,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93012,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93012,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93013,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93013,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93015,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93015,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93016,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93016,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93020,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93021,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93021,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93022,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93022,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93023,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93023,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93024,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93024,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93030,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93030,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93031,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93032,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93032,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93033,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93033,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93034,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93035,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93035,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93036,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93036,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93040,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93040,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93041,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93041,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93042,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93043,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93043,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93044,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93060,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93060,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93061,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93061,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93062,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93063,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93063,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93064,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93064,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
93065,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
93065,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
